63, 14, 0, 191, 191, 191
62, 15, 0, 191, 191, 191
63, 15, 0, 191, 191, 191
60, 10, 1, 191, 191, 191
61, 10, 1, 191, 191, 191
62, 10, 1, 191, 191, 191
63, 10, 1, 191, 191, 191
54, 11, 1, 191, 191, 191
55, 11, 1, 191, 191, 191
56, 11, 1, 191, 191, 191
57, 11, 1, 191, 191, 191
58, 11, 1, 191, 191, 191
59, 11, 1, 191, 191, 191
60, 11, 1, 191, 191, 191
61, 11, 1, 191, 191, 191
62, 11, 1, 191, 191, 191
63, 11, 1, 191, 191, 191
52, 12, 1, 191, 191, 191
53, 12, 1, 191, 191, 191
54, 12, 1, 191, 191, 191
55, 12, 1, 191, 191, 191
56, 12, 1, 191, 191, 191
57, 12, 1, 191, 191, 191
58, 12, 1, 191, 191, 191
59, 12, 1, 191, 191, 191
60, 12, 1, 191, 191, 191
61, 12, 1, 191, 191, 191
62, 12, 1, 191, 191, 191
63, 12, 1, 191, 191, 191
49, 13, 1, 191, 191, 191
50, 13, 1, 191, 191, 191
51, 13, 1, 191, 191, 191
52, 13, 1, 191, 191, 191
53, 13, 1, 191, 191, 191
54, 13, 1, 191, 191, 191
55, 13, 1, 191, 191, 191
56, 13, 1, 191, 191, 191
57, 13, 1, 191, 191, 191
58, 13, 1, 191, 191, 191
59, 13, 1, 191, 191, 191
60, 13, 1, 191, 191, 191
61, 13, 1, 191, 191, 191
62, 13, 1, 191, 191, 191
63, 13, 1, 191, 191, 191
48, 14, 1, 191, 191, 191
49, 14, 1, 191, 191, 191
50, 14, 1, 191, 191, 191
51, 14, 1, 191, 191, 191
52, 14, 1, 191, 191, 191
53, 14, 1, 191, 191, 191
54, 14, 1, 191, 191, 191
55, 14, 1, 191, 191, 191
56, 14, 1, 191, 191, 191
57, 14, 1, 191, 191, 191
58, 14, 1, 191, 191, 191
59, 14, 1, 191, 191, 191
60, 14, 1, 191, 191, 191
61, 14, 1, 191, 191, 191
62, 14, 1, 191, 191, 191
135, 15, 29, 191, 191, 191
48, 15, 1, 191, 191, 191
49, 15, 1, 191, 191, 191
50, 15, 1, 191, 191, 191
51, 15, 1, 191, 191, 191
52, 15, 1, 191, 191, 191
53, 15, 1, 191, 191, 191
54, 15, 1, 191, 191, 191
55, 15, 1, 191, 191, 191
56, 15, 1, 191, 191, 191
57, 15, 1, 191, 191, 191
58, 15, 1, 191, 191, 191
59, 15, 1, 191, 191, 191
60, 15, 1, 191, 191, 191
61, 15, 1, 191, 191, 191
62, 15, 1, 191, 191, 191
63, 15, 1, 191, 191, 191
58, 8, 2, 191, 191, 191
59, 8, 2, 191, 191, 191
60, 8, 2, 191, 191, 191
61, 8, 2, 191, 191, 191
62, 8, 2, 191, 191, 191
63, 8, 2, 191, 191, 191
